2,6,4,1,5,2,1,1,3,2,4,6,3,8,2,2,2,6,3,4,3,3,3,4,2,3,6,2,2,5,0,8,5,7,8,7,5,3,10,5,6,2,9,3,3,1,7,2,6,5,3,4,4,7,3,4,4,6,5,2,3,4,8,2,4,5,4,4,3,14,6,3,4,9,1,4,8,1,2,4,3,8,4,2,4,4,4,3,5,2,4,3,6,6,6,1,3,5,7,2,5,2,4,4,3,4,3,5,5,8,4,4,4,3,8,3,2,3,4,4,10,6,3,5,3,8,1,5
5,6,3,2,3,3,2,2,7,3,3,1,4,2,4,2,2,3,72,55,1,0,2,0,2,1,2,4,6,3,4,1,3,2,5,6,0,5,2,3,3,1,3,2,5,3,2,7,3,4,7,4,4,5,5,5,5,4,5,3,6,5,4,3,4,3,7,4,1,6,5,2,4,2,4,4,8,1,2,4,3,8,4,2,4,4,4,3,5,2,4,3,6,6,6,1,3,5,7,2,5,2,4,4,3,4,3,5,5,8,4,4,4,3,8,3,2,3,4,4,10,6,3,5,3,8,1,5
5,6,3,2,3,3,2,2,7,3,3,1,4,2,4,2,2,3,72,55,1,0,2,0,2,1,2,4,6,3,4,1,3,2,5,6,0,5,2,3,3,1,3,2,5,3,2,7,3,4,7,4,4,5,5,5,5,4,5,3,6,5,4,3,4,3,7,4,1,6,5,2,4,2,4,2,3,2,4,3,7,3,4,2,2,9,11,1,3,1,1,2,3,2,3,5,3,3,7,4,5,5,10,1,2,5,3,6,5,4,3,4,1,4,4,3,8,3,11,3,4,6,5,6,2,2,5,2
3,5,3,5,10,2,1,2,4,5,2,3,11,9,4,2,3,3,2,6,6,6,5,1,6,4,4,1,5,3,3,3,9,3,3,3,5,3,9,2,4,3,2,2,3,2,6,4,5,2,5,5,4,4,2,4,5,3,1,7,4,3,3,5,2,3,3,5,4,4,2,6,2,6,1,2,3,2,4,3,7,3,4,2,2,9,11,1,3,1,1,2,3,2,3,5,3,3,7,4,5,5,10,1,2,5,3,6,5,4,3,4,1,4,4,3,8,3,11,3,4,6,5,6,2,2,5,2
3,5,3,5,10,2,1,2,4,5,2,3,11,9,4,2,3,3,2,6,6,6,5,1,6,4,4,1,5,3,3,3,9,3,3,3,5,3,9,2,4,3,2,2,3,2,6,4,5,2,5,5,4,4,2,4,5,3,1,7,4,3,3,5,2,3,3,5,4,4,2,6,2,6,1,8,2,3,4,3,5,4,3,4,4,2,4,5,3,4,3,6,4,3,5,2,4,8,3,3,4,3,8,4,3,4,3,5,5,2,3,3,8,2,4,2,3,3,1,2,5,5,5,1,4,2,5,4
3,3,2,3,4,0,4,6,2,6,2,2,2,1,6,7,4,1,2,4,3,6,3,2,4,6,2,2,5,2,3,4,2,3,9,3,3,7,1,2,7,6,5,6,2,4,1,3,4,4,3,2,4,4,7,1,2,1,3,3,2,3,2,5,4,2,6,3,3,6,7,7,5,15,4,8,2,3,4,3,5,4,3,4,4,2,4,5,3,4,3,6,4,3,5,2,4,8,3,3,4,3,8,4,3,4,3,5,5,2,3,3,8,2,4,2,3,3,1,2,5,5,5,1,4,2,5,4
3,3,2,3,4,0,4,6,2,6,2,2,2,1,6,7,4,1,2,4,3,6,3,2,4,6,2,2,5,2,3,4,2,3,9,3,3,7,1,2,7,6,5,6,2,4,1,3,4,4,3,2,4,4,7,1,2,1,3,3,2,3,2,5,4,2,6,3,3,6,7,7,5,15,4,6,9,0,4,1,5,6,3,8,3,2,6,3,3,5,4,5,2,2,3,3,3,5,3,8,3,6,7,3,0,6,5,4,8,2,5,1,0,3,6,1,9,4,6,5,5,1,7,4,6,2,4,3
4,5,1,3,6,4,3,5,6,8,4,2,6,8,5,2,5,4,5,4,2,8,3,4,4,3,3,1,2,2,0,3,1,4,5,3,4,4,6,3,1,4,5,7,2,1,5,1,6,6,4,8,5,4,1,5,4,3,4,6,5,2,1,7,6,2,7,4,2,3,4,2,3,4,2,6,9,0,4,1,5,6,3,8,3,2,6,3,3,5,4,5,2,2,3,3,3,5,3,8,3,6,7,3,0,6,5,4,8,2,5,1,0,3,6,1,9,4,6,5,5,1,7,4,6,2,4,3
4,5,1,3,6,4,3,5,6,8,4,2,6,8,5,2,5,4,5,4,2,8,3,4,4,3,3,1,2,2,0,3,1,4,5,3,4,4,6,3,1,4,5,7,2,1,5,1,6,6,4,8,5,4,1,5,4,3,4,6,5,2,1,7,6,2,7,4,2,3,4,2,3,4,2,4,1,2,5,2,5,4,4,3,4,4,4,7,1,2,1,2,5,3,4,6,4,4,2,4,1,3,1,2,5,3,3,5,6,4,3,3,4,10,5,3,4,6,3,4,3,3,1,8,4,2,3,5
6,5,1,3,2,4,6,3,5,3,3,3,5,3,7,4,53,18,0,0,4,3,3,4,3,1,3,1,2,4,4,3,2,2,3,7,1,1,3,4,6,4,7,4,2,4,2,2,3,4,1,3,7,4,5,2,4,3,2,3,5,3,2,4,4,5,4,2,1,3,1,1,3,5,2,4,1,2,5,2,5,4,4,3,4,4,4,7,1,2,1,2,5,3,4,6,4,4,2,4,1,3,1,2,5,3,3,5,6,4,3,3,4,10,5,3,4,6,3,4,3,3,1,8,4,2,3,5
6,5,1,3,2,4,6,3,5,3,3,3,5,3,7,4,53,18,0,0,4,3,3,4,3,1,3,1,2,4,4,3,2,2,3,7,1,1,3,4,6,4,7,4,2,4,2,2,3,4,1,3,7,4,5,2,4,3,2,3,5,3,2,4,4,5,4,2,1,3,1,1,3,5,2,3,2,3,3,8,1,9,1,3,2,3,7,1,5,2,3,5,4,7,4,2,1,2,3,4,2,8,3,7,4,2,3,1,7,5,4,4,0,7,9,2,3,4,7,5,6,6,6,5,3,4,2,1
4,4,4,2,5,2,9,3,4,3,1,3,4,4,3,2,6,5,3,2,7,5,4,2,5,2,6,4,4,3,3,6,3,1,6,3,2,3,2,3,7,3,3,5,3,4,6,5,4,4,5,5,1,1,4,4,3,0,4,4,4,5,2,5,2,5,0,3,7,3,1,5,2,3,1,3,2,3,3,8,1,9,1,3,2,3,7,1,5,2,3,5,4,7,4,2,1,2,3,4,2,8,3,7,4,2,3,1,7,5,4,4,0,7,9,2,3,4,7,5,6,6,6,5,3,4,2,1
4,4,4,2,5,2,9,3,4,3,1,3,4,4,3,2,6,5,3,2,7,5,4,2,5,2,6,4,4,3,3,6,3,1,6,3,2,3,2,3,7,3,3,5,3,4,6,5,4,4,5,5,1,1,4,4,3,0,4,4,4,5,2,5,2,5,0,3,7,3,1,5,2,3,1,6,3,2,5,3,3,3,6,2,2,4,2,4,1,3,3,4,2,2,5,4,3,5,4,3,2,4,1,4,2,6,7,2,2,3,2,1,4,0,2,7,5,5,2,6,3,6,5,5,1,0,2,1
4,4,2,3,1,2,3,2,2,4,4,3,6,4,2,3,4,2,2,3,5,4,7,3,1,4,3,6,3,2,3,3,6,2,2,5,3,5,1,3,6,1,7,6,6,2,1,2,4,4,3,6,4,3,3,3,5,2,5,1,1,5,4,9,5,4,3,3,4,3,3,1,5,8,4,6,3,2,5,3,3,3,6,2,2,4,2,4,1,3,3,4,2,2,5,4,3,5,4,3,2,4,1,4,2,6,7,2,2,3,2,1,4,0,2,7,5,5,2,6,3,6,5,5,1,0,2,1
4,4,2,3,1,2,3,2,2,4,4,3,6,4,2,3,4,2,2,3,5,4,7,3,1,4,3,6,3,2,3,3,6,2,2,5,3,5,1,3,6,1,7,6,6,2,1,2,4,4,3,6,4,3,3,3,5,2,5,1,1,5,4,9,5,4,3,3,4,3,3,1,5,8,4,2,3,1,2,2,4,5,7,6,4,2,2,3,4,4,2,3,3,3,4,4,6,2,4,3,1,3,4,5,5,3,4,4,3,5,8,2,3,2,7,2,5,7,4,4,3,3,6,6,3,4,4,1
4,6,2,2,3,4,2,3,3,2,6,1,7,6,5,4,55,1,1,0,7,2,2,4,2,3,4,2,2,4,5,3,3,4,5,4,3,3,2,3,4,5,3,2,7,5,5,2,2,5,4,4,2,2,4,4,5,3,5,4,3,4,4,1,4,6,7,5,7,3,5,3,3,2,1,2,3,1,2,2,4,5,7,6,4,2,2,3,4,4,2,3,3,3,4,4,6,2,4,3,1,3,4,5,5,3,4,4,3,5,8,2,3,2,7,2,5,7,4,4,3,3,6,6,3,4,4,1
4,6,2,2,3,4,2,3,3,2,6,1,7,6,5,4,55,1,1,0,7,2,2,4,2,3,4,2,2,4,5,3,3,4,5,4,3,3,2,3,4,5,3,2,7,5,5,2,2,5,4,4,2,2,4,4,5,3,5,4,3,4,4,1,4,6,7,5,7,3,5,3,3,2,3,3,2,3,30,2,0,0,2,4,3,2,4,7,2,3,3,4,4,5,5,3,7,7,2,6,4,4,2,3,2,3,4,4,3,2,4,5,2,4,4,3,5,1,5,2,2,2,3,4,4,2,5,2
7,2,3,1,2,4,5,2,5,4,2,3,4,3,5,7,42,1,0,2,10,2,1,4,1,3,3,5,1,3,2,1,6,3,5,3,1,2,2,2,6,8,7,5,2,4,1,1,2,3,3,6,2,3,4,6,5,3,3,4,5,6,1,3,7,4,3,3,3,3,8,8,4,1,3,3,2,3,30,2,0,0,2,4,3,2,4,7,2,3,3,4,4,5,5,3,7,7,2,6,4,4,2,3,2,3,4,4,3,2,4,5,2,4,4,3,5,1,5,2,2,2,3,4,4,2,5,2
7,2,3,1,2,4,5,2,5,4,2,3,4,3,5,7,42,1,0,2,10,2,1,4,1,3,3,5,1,3,2,1,6,3,5,3,1,2,2,2,6,8,7,5,2,4,1,1,2,3,3,6,2,3,4,6,5,3,3,4,5,6,1,3,7,4,3,3,3,3,8,8,4,1,2,3,5,7,2,6,4,1,5,4,3,2,8,5,3,3,4,2,4,4,2,3,5,3,5,6,3,2,5,5,2,4,3,5,3,4,3,6,1,6,5,0,2,2,4,4,5,7,3,3,4,3,7,4
4,7,2,2,3,5,3,6,5,2,2,3,3,4,3,1,51,1,0,5,0,1,3,6,6,1,2,2,3,7,1,3,3,1,3,5,5,3,6,5,3,2,6,3,2,3,4,2,3,5,5,7,3,5,2,4,3,5,5,3,3,5,4,4,2,4,4,1,2,3,6,2,2,7,2,3,5,7,2,6,4,1,5,4,3,2,8,5,3,3,4,2,4,4,2,3,5,3,5,6,3,2,5,5,2,4,3,5,3,4,3,6,1,6,5,0,2,2,4,4,5,7,3,3,4,3,7,4
2,7,2,2,3,5,3,6,5,2,2,3,3,4,3,1,51,1,0,5,0,1,3,6,6,1,2,2,3,7,1,3,3,1,3,5,5,3,6,5,3,2,6,3,2,3,4,2,3,5,5,7,3,5,2,4,3,5,5,3,3,5,4,4,2,4,4,1,2,3,6,2,2,7,2,2,4,8,5,3,4,3,2,1,3,5,5,6,2,1,2,2,4,4,2,7,4,4,3,4,2,5,3,3,6,4,8,7,2,3,5,1,4,7,4,7,7,4,4,4,2,2,4,4,8,3,3,3
3,3,5,2,4,1,5,2,5,5,5,2,7,2,4,2,3,44,30,3,1,5,0,4,1,1,4,4,3,4,7,4,4,5,2,3,7,2,2,4,4,3,4,4,7,11,4,5,5,5,7,4,2,4,1,5,8,3,2,3,1,2,6,4,9,3,4,5,4,7,2,2,3,3,5,2,4,8,5,3,4,3,2,1,3,5,5,6,2,1,2,2,4,4,2,7,4,4,3,4,2,5,3,3,6,4,8,7,2,3,5,1,4,7,4,7,7,4,4,4,2,2,4,4,8,3,3,3
3,3,5,2,4,1,5,2,5,5,5,2,7,2,4,2,3,44,30,3,1,5,0,4,1,1,4,4,3,4,7,4,4,5,2,3,7,2,2,4,4,3,4,4,7,11,4,5,5,5,7,4,2,4,1,5,8,3,2,3,1,2,6,4,9,3,4,5,4,7,2,2,3,3,5,2,2,4,4,3,1,6,3,7,0,3,3,3,2,4,4,4,2,6,3,3,2,2,4,3,9,3,2,7,5,2,4,3,3,9,3,1,1,4,4,4,7,3,3,2,7,4,6,2,3,5,2,2
5,3,2,2,4,5,3,3,5,0,0,2,3,10,3,3,62,30,0,0,0,1,4,1,6,2,2,4,1,6,4,2,7,4,1,7,5,5,5,4,3,4,4,3,4,3,4,3,4,4,5,2,2,0,2,3,4,9,5,6,2,4,3,2,2,1,5,6,5,1,1,6,4,5,4,2,2,4,4,3,1,6,3,7,0,3,3,3,2,4,4,4,2,6,3,3,2,2,4,3,9,3,2,7,5,2,4,3,3,9,3,1,1,4,4,4,7,3,3,2,7,4,6,2,3,5,2,2
5,3,2,2,4,5,3,3,5,0,0,2,3,10,3,3,62,30,0,0,0,1,4,1,6,2,2,4,1,6,4,2,7,4,1,7,5,5,5,4,3,4,4,3,4,3,4,3,4,4,5,2,2,0,2,3,4,9,5,6,2,4,3,2,2,1,5,6,5,1,1,6,4,5,4,2,4,2,1,5,2,7,2,3,3,3,8,3,2,4,4,2,4,5,4,1,3,3,3,3,4,2,3,3,2,3,6,6,3,5,1,2,3,2,7,9,5,0,7,1,3,3,8,2,4,2,6,4
5,4,7,2,1,4,5,6,1,6,3,1,2,2,52,0,0,5,1,3,1,1,5,1,1,6,3,6,6,2,2,3,4,4,3,5,4,3,3,8,3,4,2,4,6,3,7,6,5,2,5,2,3,4,3,1,2,2,1,5,2,4,4,4,3,3,3,3,5,4,3,4,1,7,7,2,4,2,1,5,2,7,2,3,3,3,8,3,2,4,4,2,4,5,4,1,3,3,3,3,4,2,3,3,2,3,6,6,3,5,1,2,3,2,7,9,5,0,7,1,3,3,8,2,4,2,6,4
5,4,7,2,1,4,5,6,1,6,3,1,2,2,52,0,0,5,1,3,1,1,5,1,1,6,3,6,6,2,2,3,4,4,3,5,4,3,3,8,3,4,2,4,6,3,7,6,5,2,5,2,3,4,3,1,2,2,1,5,2,4,4,4,3,3,3,3,5,4,3,4,1,7,7,5,5,3,7,1,1,4,5,3,4,3,1,1,4,4,6,5,4,3,5,7,3,5,2,5,7,2,4,6,4,2,6,4,1,4,3,5,4,2,6,9,1,2,2,2,3,6,3,6,4,5,2,3
1,2,3,6,4,3,4,6,6,4,5,3,61,17,0,2,2,0,0,2,6,1,6,4,4,1,3,1,5,6,3,6,8,4,5,3,3,2,8,0,1,6,6,3,3,2,4,2,5,3,2,4,2,3,7,11,3,4,4,4,4,2,2,4,4,3,5,2,1,3,3,8,8,5,2,5,5,3,7,1,1,4,5,3,4,3,1,1,4,4,6,5,4,3,5,7,3,5,2,5,7,2,4,6,4,2,6,4,1,4,3,5,4,2,6,9,1,2,2,2,3,6,3,6,4,5,2,3
1,2,3,6,4,3,4,6,6,4,5,3,61,17,0,2,2,0,0,2,6,1,6,4,4,1,3,1,5,6,3,6,8,4,5,3,3,2,8,0,1,6,6,3,3,2,4,2,5,3,2,4,2,3,7,11,3,4,4,4,4,2,2,4,4,3,5,2,1,3,3,8,8,5,2,3,3,2,5,7,3,3,5,3,5,5,3,3,2,2,3,3,4,3,2,2,3,4,6,2,4,2,5,5,1,4,3,6,3,6,2,5,3,4,5,3,2,3,3,2,3,4,5,3,3,2,3,3
4,3,5,12,5,4,5,5,3,6,4,3,5,8,5,5,3,2,5,4,3,1,2,3,6,2,4,3,7,1,6,5,1,4,4,2,2,6,4,3,4,2,2,4,3,4,3,5,4,5,2,4,2,3,10,0,4,3,7,7,4,0,4,4,4,4,3,4,6,8,4,1,8,3,4,3,3,2,5,7,3,3,5,3,5,5,3,3,2,2,3,3,4,3,2,2,3,4,6,2,4,2,5,5,1,4,3,6,3,6,2,5,3,4,5,3,2,3,3,2,3,4,5,3,3,2,3,3
4,3,5,12,5,4,5,5,3,6,4,3,5,8,5,5,3,2,5,4,3,1,2,3,6,2,4,3,7,1,6,5,1,4,4,2,2,6,4,3,4,2,2,4,3,4,3,5,4,5,2,4,2,3,10,0,4,3,7,7,4,0,4,4,4,4,3,4,6,8,4,1,8,3,4,4,3,5,2,2,1,6,4,2,3,7,2,5,5,5,4,7,5,4,0,5,2,6,4,7,2,2,4,4,5,6,8,2,6,4,2,1,2,5,4,6,2,3,6,2,1,4,2,5,6,1,4,5
7,5,4,6,3,3,1,3,4,7,5,7,6,3,6,51,1,3,1,3,1,8,2,1,6,6,3,2,3,2,4,6,5,3,2,8,3,5,4,2,9,3,3,3,7,2,7,2,4,4,1,4,3,3,8,2,5,2,7,7,1,4,2,6,2,4,4,7,4,3,4,5,5,3,6,4,3,5,2,2,1,6,4,2,3,7,2,5,5,5,4,7,5,4,0,5,2,6,4,7,2,2,4,4,5,6,8,2,6,4,2,1,2,5,4,6,2,3,6,2,1,4,2,5,6,1,4,5
7,5,4,6,3,3,1,3,4,7,5,7,6,3,6,51,1,3,1,3,1,8,2,1,6,6,3,2,3,2,4,6,5,3,2,8,3,5,4,2,9,3,3,3,7,2,7,2,4,4,1,4,3,3,8,2,5,2,7,7,1,4,2,6,2,4,4,7,4,3,4,5,5,3,6,3,1,10,1,1,7,3,0,6,5,2,4,4,4,4,1,5,5,3,8,4,2,0,2,5,2,5,3,5,6,3,9,4,5,3,2,4,1,3,4,1,4,1,7,4,3,1,4,3,0,2,4,4
4,3,3,3,2,4,6,3,9,4,4,3,3,3,46,10,5,0,0,3,2,4,2,5,2,6,3,5,2,1,2,2,4,2,3,5,4,3,2,6,1,7,6,8,2,3,3,2,2,4,3,7,4,3,7,6,1,4,4,2,4,4,7,5,2,7,8,2,7,2,1,2,2,3,2,3,1,10,1,1,7,3,0,6,5,2,4,4,4,4,1,5,5,3,8,4,2,0,2,5,2,5,3,5,6,3,9,4,5,3,2,4,1,3,4,1,4,1,7,4,3,1,4,3,0,2,4,4
4,3,3,3,2,4,6,3,9,4,4,3,3,3,46,10,5,0,0,3,2,4,2,5,2,6,3,5,2,1,2,2,4,2,3,5,4,3,2,6,1,7,6,8,2,3,3,2,2,4,3,7,4,3,7,6,1,4,4,2,4,4,7,5,2,7,8,2,7,2,1,2,2,3,2,5,3,4,5,3,2,3,2,3,3,4,4,7,4,2,3,5,6,3,4,4,4,3,8,4,2,3,5,4,2,5,3,7,6,4,4,2,4,3,5,4,0,2,3,4,2,1,1,3,8,4,4,4
2,4,2,3,6,5,2,3,2,2,2,6,5,3,6,3,49,0,2,6,1,0,3,5,4,2,7,4,3,4,4,3,5,6,3,7,3,5,6,5,5,3,0,3,3,4,1,3,4,4,0,3,3,3,1,7,1,5,2,5,5,4,6,2,6,5,3,5,2,8,5,4,3,2,2,5,3,4,5,3,2,3,2,3,3,4,4,7,4,2,3,5,6,3,4,4,4,3,8,4,2,3,5,4,2,5,3,7,6,4,4,2,4,3,5,4,0,2,3,4,2,1,1,3,8,4,4,4
2,4,2,3,6,5,2,3,2,2,2,6,5,3,6,3,49,0,2,6,1,0,3,5,4,2,7,4,3,4,4,3,5,6,3,7,3,5,6,5,5,3,0,3,3,4,1,3,4,4,0,3,3,3,1,7,1,5,2,5,5,4,6,2,6,5,3,5,2,8,5,4,3,2,0,8,3,3,5,6,1,1,5,6,5,6,2,3,3,3,7,2,2,3,4,6,2,5,3,0,6,3,4,3,2,4,5,4,5,8,3,3,1,2,2,4,4,3,4,5,8,4,2,5,5,5,4,2
2,5,3,3,1,7,5,4,1,5,4,5,3,2,41,3,1,2,2,2,9,4,3,1,4,4,2,4,4,3,3,6,2,1,7,4,2,5,2,3,4,3,2,2,4,3,4,3,9,7,4,1,3,4,10,3,4,2,4,4,4,8,3,4,2,3,4,6,2,2,3,4,5,7,4,8,3,3,5,6,1,1,5,6,5,6,2,3,3,3,7,2,2,3,4,6,2,5,3,0,6,3,4,3,2,4,5,4,5,8,3,3,1,2,2,4,4,3,4,5,8,4,2,5,5,5,4,2
2,5,3,3,1,7,5,4,1,5,4,5,3,2,41,3,1,2,2,2,9,4,3,1,4,4,2,4,4,3,3,6,2,1,7,4,2,5,2,3,4,3,2,2,4,3,4,3,9,7,4,1,3,4,10,3,4,2,4,4,4,8,3,4,2,3,4,6,2,2,3,4,5,7,4,4,4,1,4,4,4,3,1,5,3,3,2,2,7,3,4,8,5,3,3,4,5,4,4,4,4,8,1,2,5,3,3,2,0,7,7,3,2,5,4,4,1,2,3,4,3,0,5,5,4,3,7,2
3,3,6,5,5,4,5,4,2,1,3,5,3,2,2,6,1,47,4,2,3,2,2,2,2,3,2,3,2,4,4,2,6,6,2,3,2,2,3,4,2,2,3,3,3,5,0,4,1,3,4,3,4,7,3,3,8,3,8,3,3,3,3,4,2,3,6,2,3,1,6,0,3,1,3,4,4,1,4,4,4,3,1,5,3,3,2,2,7,3,4,8,5,3,3,4,5,4,4,4,4,8,1,2,5,3,3,2,0,7,7,3,2,5,4,4,1,2,3,4,3,0,5,5,4,3,7,2
4,3,6,5,5,4,5,4,2,1,3,5,3,2,2,6,1,47,4,2,3,2,2,2,2,3,2,3,2,4,4,2,6,6,2,3,2,2,3,4,2,2,3,3,3,5,0,4,1,3,4,3,4,7,3,3,8,3,8,3,3,3,3,4,2,3,6,2,3,1,6,0,3,1,4,0,3,2,5,5,8,4,7,4,6,2,4,4,5,7,3,3,1,6,5,2,6,3,1,4,3,1,3,2,3,4,3,1,6,6,2,2,3,3,3,2,5,6,5,1,1,3,8,7,2,6,4,4
5,3,3,2,4,2,5,1,4,4,4,2,2,3,40,8,3,0,2,7,7,3,4,4,9,2,6,4,1,4,4,6,3,5,2,5,2,3,6,1,4,6,4,5,4,7,2,3,6,6,5,4,2,7,2,2,3,5,4,4,2,5,3,4,3,5,5,4,2,4,6,4,5,7,4,0,3,2,5,5,8,4,7,4,6,2,4,4,5,7,3,3,1,6,5,2,6,3,1,4,3,1,3,2,3,4,3,1,6,6,2,2,3,3,3,2,5,6,5,1,1,3,8,7,2,6,4,4
5,3,3,2,4,2,5,1,4,4,4,2,2,3,40,8,3,0,2,7,7,3,4,4,9,2,6,4,1,4,4,6,3,5,2,5,2,3,6,1,4,6,4,5,4,7,2,3,6,6,5,4,2,7,2,2,3,5,4,4,2,5,3,4,3,5,5,4,2,4,6,4,5,7,2,4,1,7,2,4,3,4,2,5,8,2,4,4,4,3,1,5,4,3,2,3,1,4,5,3,5,6,2,5,7,4,3,3,3,2,2,7,3,5,1,4,5,4,4,5,3,2,2,5,2,7,4,1
9,8,1,2,4,3,3,3,1,3,3,6,44,19,1,4,0,3,0,2,3,5,1,5,6,3,4,9,3,3,7,3,2,6,5,5,5,2,3,4,5,3,4,1,5,2,5,4,7,3,2,4,2,9,4,3,7,4,1,4,5,2,4,3,3,3,4,2,5,7,4,5,3,5,4,4,1,7,2,4,3,4,2,5,8,2,4,4,4,3,1,5,4,3,2,3,1,4,5,3,5,6,2,5,7,4,3,3,3,2,2,7,3,5,1,4,5,4,4,5,3,2,2,5,2,7,4,1
9,8,1,2,4,3,3,3,1,3,3,6,44,19,1,4,0,3,0,2,3,5,1,5,6,3,4,9,3,3,7,3,2,6,5,5,5,2,3,4,5,3,4,1,5,2,5,4,7,3,2,4,2,9,4,3,7,4,1,4,5,2,4,3,3,3,4,2,5,7,4,5,3,5,4,3,3,4,5,3,4,2,3,9,6,3,5,3,7,2,4,2,2,7,6,5,3,4,2,4,2,6,3,3,1,4,3,3,4,1,4,4,4,6,5,6,2,6,3,3,6,2,3,6,2,8,6,3
3,3,4,1,3,5,4,3,3,4,2,5,3,5,6,32,10,0,4,0,2,4,3,5,4,1,2,5,5,4,3,1,2,3,2,5,3,3,4,6,3,3,7,4,2,5,3,2,4,2,4,3,4,6,9,9,6,1,3,3,2,3,4,3,4,3,5,5,6,4,2,3,7,6,4,3,3,4,5,3,4,2,3,9,6,3,5,3,7,2,4,2,2,7,6,5,3,4,2,4,2,6,3,3,1,4,3,3,4,1,4,4,4,6,5,6,2,6,3,3,6,2,3,6,2,8,6,3
3,3,4,1,3,5,4,3,3,4,2,5,3,5,6,32,10,0,4,0,2,4,3,5,4,1,2,5,5,4,3,1,2,3,2,5,3,3,4,6,3,3,7,4,2,5,3,2,4,2,4,3,4,6,9,9,6,1,3,3,2,3,4,3,4,3,5,5,6,4,2,3,7,6,4,2,7,6,2,4,2,1,1,5,5,4,4,5,3,4,4,6,1,4,2,5,3,4,8,1,5,4,5,1,4,2,6,4,3,3,2,5,6,2,5,7,3,3,4,3,7,2,4,5,2,1,4,4
6,3,3,2,6,4,3,4,6,6,5,2,4,27,0,6,2,0,1,3,4,9,3,4,3,6,2,2,4,1,2,6,2,5,3,1,2,3,4,4,1,4,3,2,4,4,2,2,3,9,5,2,2,5,5,4,6,4,3,5,3,3,8,3,4,2,3,3,3,5,7,3,0,4,2,2,7,6,2,4,2,1,1,5,5,4,4,5,3,4,4,6,1,4,2,5,3,4,8,1,5,4,5,1,4,2,6,4,3,3,2,5,6,2,5,7,3,3,4,3,7,2,4,5,2,1,4,4
6,3,3,2,6,4,3,4,6,6,5,2,4,27,0,6,2,0,1,3,4,9,3,4,3,6,2,2,4,1,2,6,2,5,3,1,2,3,4,4,1,4,3,2,4,4,2,2,3,9,5,2,2,5,5,4,6,4,3,5,3,3,8,3,4,2,3,3,3,5,7,3,0,4,3,4,7,3,6,3,4,4,2,3,2,3,2,5,4,4,5,5,4,3,5,2,4,8,1,3,4,5,3,3,8,2,1,3,3,3,4,5,3,7,2,4,3,1,1,5,2,5,3,4,2,1,4,3
3,1,4,5,2,2,2,6,3,4,3,4,5,40,32,1,0,2,3,5,3,1,5,2,6,4,2,2,2,5,1,3,2,6,3,4,6,5,8,1,3,5,2,4,4,6,4,3,2,4,4,6,4,5,2,2,2,5,5,2,5,6,7,4,5,1,6,0,3,4,2,6,6,7,3,4,7,3,6,3,4,4,2,3,2,3,2,5,4,4,5,5,4,3,5,2,4,8,1,3,4,5,3,3,8,2,1,3,3,3,4,5,3,7,2,4,3,1,1,5,2,5,3,4,2,1,4,3
3,1,4,5,2,2,2,6,3,4,3,4,5,40,32,1,0,2,3,5,3,1,5,2,6,4,2,2,2,5,1,3,2,6,3,4,6,5,8,1,3,5,2,4,4,6,4,3,2,4,4,6,4,5,2,2,2,5,5,2,5,6,7,4,5,1,6,0,3,4,2,6,6,7,3,3,4,3,4,8,6,4,4,1,0,3,4,8,3,2,4,2,5,3,3,2,3,2,3,6,3,5,3,4,2,5,5,4,7,2,1,3,4,4,5,4,6,4,4,6,4,3,2,2,9,1,5,5
5,3,4,3,2,3,4,3,7,4,3,4,5,44,30,0,2,0,6,4,1,4,5,2,2,6,2,2,7,3,2,4,5,8,3,2,2,1,4,0,4,4,6,6,2,3,7,1,1,3,6,2,7,3,4,4,2,4,2,4,2,4,2,2,6,4,6,2,7,1,6,2,5,2,3,3,4,3,4,8,6,4,4,1,0,3,4,8,3,2,4,2,5,3,3,2,3,2,3,6,3,5,3,4,2,5,5,4,7,2,1,3,4,4,5,4,6,4,4,6,4,3,2,2,9,1,5,5
5,3,4,3,2,3,4,3,7,4,3,4,5,44,30,0,2,0,6,4,1,4,5,2,2,6,2,2,7,3,2,4,5,8,3,2,2,1,4,0,4,4,6,6,2,3,7,1,1,3,6,2,7,3,4,4,2,4,2,4,2,4,2,2,6,4,6,2,7,1,6,2,5,2,3,3,6,6,5,2,1,2,6,2,0,3,4,4,2,6,6,4,2,6,2,7,5,1,7,4,2,4,3,6,1,3,3,3,4,2,3,7,3,6,4,5,5,2,0,3,3,5,6,1,6,8,3,7
3,2,3,1,6,4,4,8,2,2,5,6,10,42,1,0,3,3,2,4,3,2,9,5,4,7,6,4,2,2,5,5,2,1,9,5,3,5,6,5,3,2,2,4,3,5,3,6,1,5,4,2,1,3,2,2,4,1,3,3,5,5,3,4,3,5,3,3,3,4,4,5,4,3,3,3,6,6,5,2,1,2,6,2,0,3,4,4,2,6,6,4,2,6,2,7,5,1,7,4,2,4,3,6,1,3,3,3,4,2,3,7,3,6,4,5,5,2,0,3,3,5,6,1,6,8,3,7
